Ticker,Name,Sector,Industry,Large Growth,Large Value,Small Growth,Small Value,Market 3000,Midcap,Mid Growth,Mid Value,Top 200 stocks,10-20 Year Treasury Bond,1-3 Year Treasury Bond,20 Year Treasury Bond,3-7 Year Treasury Bond ,7-10 Year Treasury Bond ,Agency Bond ,500 Quality ,Global Water  , Senior Loan , Taxable Municipal Bond , Water Resources ,Clean Energy ,Emerging Markets Bond , MBS ,Brazil ,China ,NextGen Real Estate ,Merger Arbitrage ,China Internet ,Global Carbon,Cancer Immunotherapy ,China BioPharma ,Materials Select Sector,Inflation Expectations ,Natural Gas, VIX Mid-Term Futures ,Global Robotics and Automation  ,Sports Betting & iGaming ,Intl Large Company  ,Silver Trust,Corn ,Soybeans,Wheat ,Jets ,United States Natural Gas,Africa  ,Agribusiness , Environmental Services , Mortgage REIT Income , Semiconductor , Video Gaming and eSports , Emerging Markets Govt Bd Idx, Global ex-US Real Estate  Fd, Mega Cap 300 Value  ,Pharmaceuticals ,Semiconductor ,3D Printing ,Platinum,MLP,Dividend Dogs , Online Retail ,Cannabis ,ARK Innovation ,Dry Bulk Shipping ,Value and Momentum ,Communication Services,Consumer Discretionary,Consumer Staples,Work From Home ,Cyber Security ,Travel Tech ,Financials,Cloud Computing ,MicroCap  ,Industrials/Producer Drbls,North American Energy Infrastructure,Water ,South Korea ,Artificial Intelligence & Technology ,Health and Wellness ,Lithium & Battery Tech ,Uranium ,Health Care,Housing ,British Pound Strlng,Euro Trust,Japanese Yen Trust,Agriculture ,Precious Metals ,Healthcare Momentum ,BioTech & Genome ,Leisure & Entertainment ,Property & Casualty Insurance ,500 Quality , Solar ,Aluminum Strategy ,Nickel,Tin, Environmental Services , Uranium+Nuclear Energy ,Generative Artificial Intelligence ,Cybersecurity ,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,Aerospace & Defense,Air Freight & Logistics,Automobile Components,Automobiles,Banks,Beverages,Biotechnology,Broadline Retail,Building Products,Capital Markets,Chemicals,Commercial Services & Supplies,Communications Equipment,Construction & Engineering,Construction Materials,Consumer Finance,Consumer Staples Distribution & Retail,Containers & Packaging,Distributors,Diversified Consumer Services,Diversified REITs,Diversified Telecommunication Services,Electric Utilities,Electrical Equipment,"Electronic Equipment, Instruments & Components",Energy Equipment & Services,Entertainment,Financial Services,Food Products,Gas Utilities,Ground Transportation,Health Care Equipment & Supplies,Health Care Providers & Services,Health Care REITs,Health Care Technology,Hotel & Resort REITs,"Hotels, Restaurants & Leisure",Household Durables,Household Products,Independent Power and Renewable Electricity Producers,Industrial Conglomerates,Industrial REITs,Insurance,Interactive Media & Services,IT Services,Leisure Products,Life Sciences Tools & Services,Machinery,Marine Transportation,Media,Metals & Mining,Mortgage Real Estate Investment Trusts (REITs),Multi-Utilities,Office REITs,"Oil, Gas & Consumable Fuels",Paper & Forest Products,Passenger Airlines,Personal Care Products,Pharmaceuticals,Professional Services,Real Estate Management & Development,Residential REITs,Retail REITs,Semiconductors & Semiconductor Equipment,Software,Specialized REITs,Specialty Retail,"Technology Hardware, Storage & Peripherals","Textiles, Apparel & Luxury Goods",Tobacco,Trading Companies & Distributors,Transportation Infrastructure,Water Utilities,Wireless Telecommunication Services,Market
A,Agilent Technologies Inc,Health Care,Healthcare Equipment & Supplies,0.25,0.50,0.47,0.49,0.40,0.52,0.48,0.52,0.32,0.29,0.25,0.27,0.30,0.30,0.29,0.32,0.52,0.24,0.33,0.63,0.40,0.36,0.32,0.29,0.09,0.52,0.32,0.10,0.07,0.35,0.05,0.42,-0.15,-0.02,-0.20,0.47,0.37,0.34,0.27,0.01,0.06,0.02,0.36,-0.02,0.21,0.40,0.43,0.44,0.20,0.21,0.35,0.38,0.46,0.44,0.32,0.42,0.23,0.14,0.45,0.36,0.16,0.34,0.11,0.30,0.24,0.33,0.34,0.27,0.23,0.36,0.39,0.29,0.41,0.51,0.31,0.63,0.22,0.27,0.28,0.27,0.09,0.47,0.54,0.26,0.30,0.11,0.00,0.25,0.36,0.50,0.42,0.06,0.32,0.39,-0.07,0.16,-0.07,0.43,0.16,0.28,0.25,0.37,0.46,0.44,0.15,0.42,0.43,0.46,0.35,0.43,0.45,0.38,0.35,0.37,0.44,0.27,0.39,0.38,0.37,0.30,0.44,0.43,0.41,0.45,0.36,0.44,0.42,0.35,0.37,0.35,0.21,0.32,0.41,0.37,0.31,0.41,0.42,0.15,0.30,0.41,0.40,0.35,0.46,0.47,0.44,0.39,0.32,0.31,0.44,0.48,0.29,0.36,0.40,0.46,0.30,0.32,0.33,0.41,0.58,0.43,0.16,0.35,0.39,0.40,0.32,0.37,0.14,0.41,0.35,0.37,0.35,0.40,0.42,0.44,0.42,0.30,0.30,0.44,0.46,0.26,0.42,0.25,0.42,0.26,0.38,0.24,0.46
AA,Alcoa Corp,Materials,Metals & Mining,0.33,0.58,0.56,0.59,0.49,0.59,0.50,0.61,0.40,0.25,0.16,0.25,0.22,0.23,0.20,0.38,0.50,0.28,0.25,0.45,0.63,0.36,0.27,0.46,0.46,0.48,0.36,0.42,0.12,0.42,0.21,0.63,-0.16,0.09,-0.31,0.60,0.48,0.54,0.38,-0.07,0.05,-0.04,0.43,0.10,0.50,0.62,0.47,0.49,0.30,0.42,0.37,0.56,0.51,0.37,0.49,0.61,0.42,0.35,0.59,0.54,0.24,0.50,0.03,0.48,0.37,0.46,0.31,0.45,0.33,0.53,0.47,0.43,0.55,0.57,0.42,0.47,0.42,0.43,0.48,0.58,0.29,0.19,0.57,0.37,0.35,0.22,0.10,0.33,0.36,0.38,0.53,0.05,0.38,0.62,0.34,0.17,0.14,0.47,0.36,0.26,0.18,0.58,0.61,0.48,0.50,0.52,0.47,0.61,0.56,0.70,0.53,0.42,0.48,0.45,0.59,0.45,0.46,0.39,0.42,0.56,0.48,0.55,0.66,0.57,0.50,0.51,0.44,0.59,0.45,0.55,0.29,0.50,0.46,0.49,0.34,0.61,0.57,0.47,0.49,0.54,0.41,0.42,0.54,0.50,0.44,0.41,0.45,0.42,0.57,0.53,0.27,0.50,0.46,0.49,0.33,0.55,0.55,0.59,0.48,0.59,0.39,0.57,0.66,0.48,0.28,0.49,0.50,0.47,0.42,0.42,0.42,0.48,0.56,0.41,0.42,0.52,0.50,0.46,0.56,0.50,0.48,0.32,0.51,0.34,0.29,0.29,0.61
AAL,American Airlines Group Inc,Industrials,Passenger Transportation Services,0.36,0.45,0.48,0.49,0.44,0.52,0.50,0.51,0.38,0.20,0.17,0.20,0.19,0.20,0.17,0.34,0.43,0.19,0.20,0.44,0.45,0.33,0.25,0.23,0.27,0.36,0.30,0.24,0.04,0.42,0.12,0.41,-0.21,-0.09,-0.36,0.50,0.47,0.38,0.05,-0.01,-0.04,0.04,0.86,-0.07,0.21,0.41,0.35,0.42,0.32,0.42,0.34,0.42,0.36,0.41,0.42,0.50,0.18,0.13,0.44,0.47,0.12,0.48,0.01,0.36,0.38,0.45,0.21,0.40,0.31,0.56,0.41,0.40,0.38,0.50,0.20,0.45,0.25,0.40,0.38,0.39,0.09,0.23,0.49,0.30,0.28,0.17,0.05,0.04,0.39,0.42,0.59,0.07,0.34,0.43,0.06,0.11,0.07,0.35,0.15,0.28,0.21,0.47,0.52,0.39,0.13,0.44,0.44,0.49,0.47,0.35,0.42,0.29,0.34,0.39,0.47,0.31,0.39,0.31,0.42,0.44,0.45,0.45,0.43,0.39,0.42,0.37,0.42,0.44,0.33,0.35,0.24,0.45,0.38,0.36,0.20,0.44,0.47,0.11,0.43,0.46,0.33,0.26,0.45,0.40,0.43,0.24,0.34,0.45,0.55,0.47,0.25,0.37,0.38,0.33,0.31,0.43,0.42,0.40,0.38,0.46,0.19,0.46,0.25,0.39,0.17,0.40,0.13,0.31,0.67,0.37,0.40,0.41,0.43,0.30,0.38,0.40,0.45,0.35,0.48,0.44,0.47,0.24,0.43,0.22,0.27,0.20,0.49
AAN,Aaron's Company Inc,Consumer Discretionary,Banking Services,0.10,0.38,0.37,0.50,0.26,0.38,0.27,0.42,0.17,0.21,0.24,0.20,0.24,0.23,0.24,0.16,0.40,0.08,0.25,0.39,0.35,0.30,0.25,0.23,0.08,0.39,0.24,0.08,0.07,0.25,0.08,0.31,-0.09,-0.12,-0.08,0.29,0.25,0.35,0.23,0.00,-0.01,-0.06,0.39,-0.10,0.19,0.42,0.38,0.38,0.06,0.09,0.31,0.37,0.32,0.35,0.24,0.41,0.23,0.25,0.43,0.22,0.05,0.25,-0.08,0.41,0.12,0.24,0.22,0.16,0.11,0.28,0.34,0.14,0.48,0.39,0.30,0.41,0.20,0.15,0.27,0.15,-0.04,0.22,0.41,0.34,0.35,0.23,0.02,0.19,0.16,0.34,0.32,0.12,0.16,0.34,-0.04,0.28,0.07,0.38,-0.02,0.09,0.07,0.35,0.40,0.35,0.26,0.48,0.29,0.41,0.29,0.36,0.38,0.35,0.31,0.39,0.35,0.19,0.50,0.22,0.25,0.26,0.36,0.36,0.41,0.37,0.38,0.34,0.27,0.42,0.33,0.39,0.17,0.26,0.38,0.32,0.29,0.34,0.37,0.24,0.25,0.36,0.35,0.39,0.37,0.32,0.33,0.28,0.27,0.30,0.34,0.40,0.24,0.30,0.31,0.31,0.32,0.28,0.27,0.46,0.30,0.40,0.17,0.39,0.29,0.36,0.31,0.42,0.26,0.29,0.34,0.24,0.24,0.37,0.34,0.31,0.34,0.22,0.25,0.32,0.43,0.20,0.40,0.33,0.38,0.21,0.33,0.21,0.40
AAON,Aaon Inc,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",0.46,0.51,0.61,0.57,0.55,0.60,0.60,0.58,0.47,0.22,0.02,0.22,0.13,0.18,0.12,0.46,0.53,0.23,0.24,0.63,0.50,0.30,0.22,0.24,0.17,0.40,0.29,0.17,0.09,0.41,0.25,0.48,-0.17,-0.05,-0.35,0.50,0.44,0.39,0.10,0.01,0.04,0.01,0.41,-0.04,0.19,0.36,0.51,0.40,0.36,0.36,0.30,0.38,0.46,0.45,0.44,0.51,0.13,0.20,0.41,0.44,0.20,0.49,-0.04,0.53,0.33,0.49,0.20,0.47,0.44,0.45,0.51,0.48,0.55,0.64,0.26,0.62,0.32,0.45,0.33,0.31,0.14,0.32,0.58,0.25,0.28,0.02,0.02,0.06,0.47,0.45,0.49,0.22,0.46,0.41,0.04,0.13,-0.05,0.51,0.18,0.28,0.25,0.44,0.57,0.42,0.30,0.52,0.49,0.63,0.56,0.45,0.52,0.35,0.46,0.43,0.56,0.34,0.45,0.37,0.44,0.44,0.72,0.59,0.50,0.55,0.43,0.61,0.56,0.49,0.35,0.39,0.33,0.50,0.48,0.34,0.28,0.57,0.60,0.30,0.40,0.57,0.35,0.33,0.52,0.48,0.52,0.39,0.45,0.46,0.54,0.58,0.33,0.38,0.42,0.50,0.46,0.48,0.50,0.46,0.49,0.63,0.26,0.40,0.35,0.42,0.24,0.44,0.28,0.42,0.38,0.34,0.44,0.53,0.55,0.38,0.46,0.50,0.53,0.45,0.53,0.46,0.50,0.34,0.66,0.23,0.37,0.11,0.58
AAP,Advance Auto Parts Inc,Consumer Discretionary,Specialty Retailers,0.20,0.47,0.43,0.48,0.36,0.46,0.37,0.49,0.28,0.21,0.14,0.22,0.20,0.21,0.19,0.27,0.42,0.22,0.23,0.37,0.44,0.31,0.24,0.32,0.26,0.42,0.22,0.26,0.08,0.34,0.06,0.39,-0.08,-0.01,-0.21,0.40,0.41,0.34,0.16,0.04,0.12,0.05,0.40,-0.03,0.25,0.44,0.41,0.41,0.15,0.30,0.32,0.46,0.43,0.38,0.26,0.42,0.18,0.24,0.51,0.42,0.28,0.36,0.01,0.33,0.26,0.32,0.36,0.32,0.23,0.38,0.41,0.30,0.44,0.42,0.35,0.38,0.24,0.24,0.39,0.35,0.16,0.26,0.48,0.25,0.23,0.19,0.07,0.18,0.31,0.39,0.43,0.10,0.27,0.43,0.14,0.04,0.17,0.41,0.24,0.14,0.14,0.49,0.53,0.52,0.26,0.48,0.43,0.46,0.39,0.46,0.48,0.40,0.40,0.30,0.48,0.32,0.45,0.41,0.38,0.48,0.36,0.43,0.47,0.49,0.40,0.33,0.28,0.47,0.49,0.43,0.36,0.42,0.46,0.47,0.34,0.43,0.39,0.23,0.44,0.45,0.49,0.39,0.42,0.40,0.44,0.33,0.38,0.37,0.49,0.46,0.42,0.42,0.45,0.43,0.34,0.43,0.40,0.48,0.41,0.44,0.22,0.45,0.40,0.42,0.34,0.47,0.26,0.38,0.40,0.34,0.41,0.40,0.44,0.44,0.45,0.30,0.36,0.42,0.52,0.33,0.45,0.36,0.38,0.09,0.29,0.30,0.50
AAPL,Apple Inc,Information Technology,"Computers, Phones & Household Electronics",0.63,0.31,0.34,0.30,0.55,0.37,0.44,0.33,0.60,0.14,0.12,0.15,0.14,0.15,0.10,0.53,0.31,0.09,0.15,0.32,0.28,0.23,0.17,0.29,0.28,0.22,0.05,0.29,0.15,0.23,0.19,0.25,-0.11,-0.12,-0.39,0.43,0.32,0.33,0.13,-0.02,0.03,0.06,0.23,-0.10,0.22,0.23,0.28,0.28,0.42,0.43,0.24,0.31,0.29,0.23,0.43,0.38,0.09,0.14,0.26,0.40,0.11,0.38,-0.06,0.13,0.45,0.44,0.13,0.45,0.40,0.41,0.24,0.46,0.24,0.33,0.17,0.33,0.38,0.55,0.32,0.31,0.16,0.21,0.30,0.22,0.16,0.14,0.06,0.11,0.28,0.20,0.35,0.03,0.53,0.29,-0.07,0.09,-0.02,0.28,0.21,0.28,0.26,0.35,0.30,0.21,0.10,0.23,0.23,0.32,0.42,0.23,0.24,0.17,0.29,0.25,0.25,0.17,0.17,0.23,0.20,0.32,0.27,0.28,0.23,0.28,0.28,0.24,0.32,0.30,0.17,0.18,0.16,0.31,0.20,0.23,0.16,0.26,0.33,0.11,0.36,0.31,0.14,0.14,0.31,0.29,0.20,0.16,0.22,0.22,0.32,0.26,0.13,0.19,0.21,0.22,0.17,0.39,0.42,0.25,0.23,0.30,0.11,0.30,0.20,0.27,0.11,0.18,0.09,0.19,0.21,0.21,0.18,0.36,0.28,0.17,0.18,0.40,0.41,0.25,0.25,0.41,0.24,0.19,0.26,0.16,0.15,0.06,0.30
AAT,American Assets Trust Inc,Real Estate,Residential & Commercial REITs,0.35,0.70,0.65,0.79,0.56,0.71,0.57,0.75,0.44,0.42,0.34,0.42,0.41,0.42,0.41,0.41,0.66,0.31,0.45,0.63,0.61,0.54,0.47,0.47,0.27,0.75,0.44,0.25,0.08,0.48,0.14,0.60,-0.16,0.02,-0.36,0.60,0.51,0.60,0.29,0.09,0.15,0.13,0.56,0.06,0.42,0.65,0.57,0.74,0.23,0.39,0.55,0.66,0.63,0.56,0.45,0.60,0.32,0.43,0.76,0.56,0.18,0.55,-0.05,0.56,0.37,0.54,0.39,0.45,0.32,0.54,0.64,0.43,0.71,0.68,0.56,0.66,0.43,0.39,0.51,0.46,0.09,0.36,0.77,0.41,0.39,0.28,0.15,0.27,0.40,0.52,0.58,0.18,0.41,0.57,0.03,0.18,0.11,0.57,0.19,0.25,0.19,0.62,0.68,0.61,0.45,0.74,0.52,0.65,0.53,0.60,0.76,0.56,0.54,0.52,0.58,0.37,0.70,0.53,0.47,0.57,0.59,0.68,0.63,0.60,0.51,0.52,0.52,0.67,0.56,0.64,0.25,0.56,0.73,0.56,0.47,0.57,0.58,0.44,0.52,0.65,0.55,0.59,0.58,0.50,0.54,0.62,0.50,0.60,0.64,0.63,0.46,0.53,0.58,0.66,0.54,0.51,0.51,0.62,0.52,0.63,0.31,0.63,0.50,0.66,0.43,0.78,0.44,0.49,0.50,0.46,0.46,0.56,0.66,0.65,0.70,0.39,0.51,0.64,0.66,0.46,0.65,0.40,0.59,0.28,0.53,0.38,0.68
ABBV,AbbVie Inc,Health Care,Pharmaceuticals,0.12,0.32,0.11,0.12,0.21,0.21,0.17,0.22,0.21,-0.02,-0.13,0.00,-0.12,-0.08,-0.09,0.23,0.11,0.12,-0.02,0.20,0.02,0.03,-0.06,0.02,-0.01,0.16,0.13,-0.03,-0.05,0.13,0.04,0.15,-0.02,0.07,-0.28,0.03,0.02,0.08,-0.13,-0.07,-0.12,0.00,0.15,0.09,0.00,0.17,0.18,0.08,0.04,0.06,0.03,0.09,0.43,0.30,0.00,0.03,-0.09,0.13,0.26,0.04,0.07,0.01,0.08,0.07,0.11,0.09,0.36,0.05,0.08,0.09,0.32,0.01,0.10,0.20,0.23,0.19,0.08,0.04,0.04,-0.02,0.08,0.55,0.15,-0.12,-0.13,-0.04,-0.05,-0.08,0.20,0.28,0.15,0.38,0.23,0.04,-0.05,-0.01,-0.03,0.18,0.09,0.08,0.07,0.07,0.09,0.18,0.06,0.09,0.15,0.11,0.01,0.01,0.10,0.19,0.08,0.14,0.08,-0.01,0.06,0.17,0.15,0.07,0.14,0.11,0.07,0.13,0.01,0.08,0.13,0.03,0.17,0.11,0.08,0.07,0.14,0.06,0.22,0.03,0.05,0.03,0.09,0.06,0.14,0.19,0.19,0.11,0.11,0.13,-0.02,0.12,0.13,0.09,0.21,0.09,0.12,0.15,0.28,0.03,-0.05,0.02,0.11,0.10,0.11,0.08,-0.06,0.05,0.22,0.07,0.07,0.02,0.09,0.14,0.22,0.06,0.01,0.13,0.19,0.01,0.01,0.09,0.08,-0.01,0.08,0.10,0.12,0.13,0.11,0.02,0.10
ABCB,Ameris Bancorp,Financials,Banking Services,0.37,0.69,0.68,0.85,0.57,0.71,0.58,0.74,0.46,0.32,0.30,0.31,0.35,0.34,0.33,0.42,0.65,0.27,0.38,0.61,0.66,0.48,0.39,0.43,0.26,0.65,0.34,0.25,0.11,0.48,0.11,0.57,-0.14,0.02,-0.35,0.64,0.55,0.61,0.23,0.04,0.07,0.05,0.56,0.04,0.33,0.65,0.59,0.70,0.31,0.44,0.48,0.65,0.60,0.52,0.52,0.65,0.26,0.45,0.72,0.59,0.21,0.58,-0.05,0.65,0.40,0.53,0.30,0.49,0.38,0.57,0.69,0.48,0.81,0.68,0.53,0.64,0.40,0.44,0.52,0.42,0.15,0.27,0.75,0.38,0.41,0.28,0.08,0.21,0.38,0.51,0.61,0.20,0.42,0.62,0.07,0.20,0.05,0.59,0.22,0.29,0.25,0.66,0.72,0.60,0.48,0.88,0.54,0.73,0.62,0.64,0.73,0.56,0.58,0.55,0.66,0.40,0.89,0.44,0.49,0.59,0.63,0.75,0.69,0.66,0.58,0.59,0.52,0.74,0.54,0.65,0.30,0.58,0.67,0.58,0.43,0.66,0.67,0.43,0.59,0.73,0.57,0.59,0.64,0.51,0.59,0.56,0.53,0.58,0.66,0.67,0.39,0.59,0.60,0.60,0.58,0.56,0.58,0.70,0.56,0.73,0.37,0.66,0.51,0.67,0.42,0.74,0.48,0.54,0.52,0.45,0.47,0.64,0.70,0.59,0.65,0.51,0.58,0.61,0.72,0.51,0.67,0.43,0.66,0.22,0.54,0.34,0.74
