Ticker ,Name ,Sector ,Industry ,Market cap ,Score ,Organic growth ,EBITDA growth ,Sales est change- 4 months ,EBITDA est change ,Gross margin ,EBITDA margin ,Sales to EV ,EBITDA to EV ,Earnings yield ,Price target change -4 months 
DDI,DoubleDown Interactive Co Ltd,Communication Services,Hotels & Entertainment Services,504,3.52,0.64,0.74,0.25,0.23,0.23,0.19,0.15,0.02,0.8,0.27
LKQ,LKQ Corp,Consumer Discretionary,Automobiles & Auto Parts,"13,629",4.56,0.77,0.66,0.27,0.29,0.55,0.61,0.23,0.33,0.24,0.62
MGM,MGM Resorts International,Consumer Discretionary,Hotels & Entertainment Services,"14,751",4.2,0.88,0.83,0.19,0.25,0.47,0.28,0.21,0.05,0.45,0.61
MODG,Topgolf Callaway Brands Corp,Consumer Discretionary,Leisure Products,"3,020",4.5,0.5,0.43,0.34,0.44,0.3,0.58,0.19,0.21,0.74,0.78
ALL,Allstate Corp,Financials,Insurance,"45,583",2.73,0.35,0.24,0.13,0.1,,0.67,0.19,0.33,0.27,0.17
VEEV,Veeva Systems Inc,Health Care,Healthcare Equipment & Supplies,"34,640",4.34,0.26,0.46,0.42,0.38,0.19,0.15,0.86,0.75,0.68,0.2
HQY,Healthequity Inc,Health Care,Software & IT Services,"6,768",4.05,0.26,0.28,0.21,0.19,0.29,0.16,0.76,0.62,0.61,0.68
DOCS,Doximity Inc,Health Care,Software & IT Services,"4,815",4.14,0.36,0.59,0.31,0.26,0.06,0.11,0.82,0.66,0.62,0.33
ACVA,ACV Auctions Inc,Industrials,Software & IT Services,"3,007",5.29,0.12,0.02,0.57,0.89,0.44,0.81,0.69,0.83,0.84,0.08
GAMB,Gambling.com Group Ltd,Communication Services,Hotels & Entertainment Services,345,2.93,0.23,0.26,0.14,0.28,0.04,0.2,0.5,0.2,0.8,0.27
TRIP,Tripadvisor Inc,Communication Services,Hotels & Entertainment Services,"3,732",3.11,0.42,0.34,0.38,0.21,0.04,0.41,0.36,0.32,0.41,0.22
CNK,Cinemark Holdings Inc,Communication Services,Hotels & Entertainment Services,"2,404",3.46,0.26,0.14,0.54,0.57,0.26,0.51,0.24,0.31,0.58,0.05
MCS,Marcus Corp,Communication Services,Hotels & Entertainment Services,440,3.89,0.35,0.2,0.54,0.35,0.56,0.59,0.13,0.16,0.79,0.22
TZOO,Travelzoo,Communication Services,Hotels & Entertainment Services,130,4.65,0.39,0.31,0.64,0.77,0.07,0.36,0.26,0.12,0.8,0.91
RDI,Reading International Inc,Communication Services,Hotels & Entertainment Services,61,5.14,0.5,0.09,0.42,0.63,0.93,0.71,0.21,0.48,0.8,0.37
AMC,AMC Entertainment Holdings Inc,Communication Services,Hotels & Entertainment Services,637,5.25,0.25,0.06,0.48,0.76,0.25,0.76,0.16,0.59,0.98,0.96
MANU,Manchester United PLC,Communication Services,Hotels & Entertainment Services,"2,423",5.42,0.35,0.16,0.18,0.69,,0.43,0.62,0.69,0.8,0.95
BATRA,Atlanta Braves Holdings Inc,Communication Services,Hotels & Entertainment Services,"2,490",6.33,0.55,0.15,0.3,0.95,0.79,0.78,0.8,0.82,0.82,0.37
BATRK,Atlanta Braves Holdings Inc,Communication Services,Hotels & Entertainment Services,"2,490",6.65,0.8,0.45,0.6,0.75,0.79,0.76,0.8,0.81,0.82,0.07
IMAX,Imax Corp,Communication Services,Media & Publishing,855,3.37,0.34,0.34,0.38,0.2,0.35,0.2,0.5,0.3,0.4,0.37
GAIA,Gaia Inc,Communication Services,Media & Publishing,81,3.41,0.25,0.23,0.43,0.46,0.07,0.51,0.18,0.1,0.8,0.37
TRMR,Nexxen International Ltd,Communication Services,Media & Publishing,375,3.45,0.48,0.42,0.14,0.15,0.1,0.28,0.14,0.03,0.8,0.9
MGNI,Magnite Inc,Communication Services,Media & Publishing,"1,378",3.84,0.35,0.35,0.11,0.42,0.64,0.23,0.49,0.28,0.24,0.72
ATHM,Autohome Inc,Communication Services,Media & Publishing,"3,341",3.92,0.75,0.43,0.43,0.13,0.11,0.37,0.02,0.01,0.8,0.86
IAS,Integral Ad Science Holding Corp,Communication Services,Media & Publishing,"1,568",4.05,0.25,0.26,0.72,0.71,0.12,0.22,0.55,0.33,0.74,0.14
OMC,Omnicom Group Inc,Communication Services,Media & Publishing,"18,339",4.31,0.77,0.73,0.22,0.32,0.75,0.51,0.26,0.27,0.22,0.28
LBRDA,Liberty Broadband Corp,Communication Services,Media & Publishing,"7,475",4.36,0.89,0.04,0.45,0.42,,0.32,0.84,0.8,0.11,0.06
FOX,Fox Corp,Communication Services,Media & Publishing,"14,147",4.38,0.46,0.51,0.56,0.47,0.62,0.43,0.23,0.19,0.09,0.81
FOXA,Fox Corp,Communication Services,Media & Publishing,"14,147",4.4,0.46,0.51,0.56,0.47,0.62,0.43,0.23,0.19,0.11,0.81
LYV,Live Nation Entertainment Inc,Communication Services,Media & Publishing,"23,892",4.49,0.43,0.42,0.13,0.38,0.75,0.72,0.2,0.51,0.74,0.21
STGW,Stagwell Inc,Communication Services,Media & Publishing,"1,558",4.64,0.76,0.65,0.18,0.75,0.61,0.52,0.22,0.22,0.06,0.66
SPHR,Sphere Entertainment Co,Communication Services,Media & Publishing,"1,644",4.69,0.23,0.02,0.11,0.03,0.54,0.82,0.63,0.82,0.89,0.61
DIS,Walt Disney Co,Communication Services,Media & Publishing,"217,145",4.7,0.63,0.38,0.48,0.37,0.65,0.43,0.5,0.58,0.58,0.1
RSVR,Reservoir Media Inc,Communication Services,Media & Publishing,521,4.71,0.69,0.54,0.26,0.22,0.31,0.17,0.75,0.61,0.8,0.37
SCOR,Comscore Inc,Communication Services,Media & Publishing,72,4.75,0.68,0.5,0.63,0.84,0.49,0.59,0.11,0.09,0.8,0.02
NXST,Nexstar Media Group Inc,Communication Services,Media & Publishing,"5,625",4.75,0.97,0.91,0.72,0.69,0.35,0.17,0.44,0.13,0.03,0.34
TGNA,Tegna Inc,Communication Services,Media & Publishing,"2,502",4.77,0.97,0.92,0.81,0.72,0.54,0.24,0.33,0.1,0.01,0.14
SCHL,Scholastic Corp,Communication Services,Media & Publishing,"1,037",4.82,0.76,0.36,0.85,0.78,0.38,0.68,0.08,0.12,0.43,0.37
