 Ticker , Name , Sector , Industry ,Growth,Value,Price Momentum,Estimates,Profitability,Stability,Low Beta,Cyclicality,Liquidity,Size
AMC ,AMC Entertainment Holdings Inc,Communication Services,Hotels & Entertainment Services,-0.23,-1.00,-0.74,2.89,-0.54,-1.70,-2.54,0.81,1.46,-1.09
BATRA,Atlanta Braves Holdings Inc,Communication Services,Hotels & Entertainment Services,-0.44,-1.24,0.21,-0.94,-1.10,-0.27,2.23,-0.05,-1.98,0.37
CNK,Cinemark Holdings Inc,Communication Services,Hotels & Entertainment Services,0.37,-0.32,0.63,1.98,0.61,-0.21,-0.66,-0.11,1.42,0.22
DDI,DoubleDown Interactive Co Ltd,Communication Services,Hotels & Entertainment Services,1.16,-0.56,0.27,2.18,-0.08,2.46,2.56,-1.11,-2.54,-2.96
GAMB,Gambling.com Group Ltd,Communication Services,Hotels & Entertainment Services,3.12,-0.65,-0.15,1.77,2.43,0.90,2.52,-1.26,-1.83,-1.82
MANU,Manchester United PLC,Communication Services,Hotels & Entertainment Services,1.13,-1.20,-0.49,-0.95,-0.02,-0.42,1.26,0.03,-0.18,0.36
MCS,Marcus Corp,Communication Services,Hotels & Entertainment Services,-0.65,0.69,-0.15,1.73,-0.01,0.63,1.33,-0.37,-0.91,-1.56
RDI,Reading International Inc,Communication Services,Hotels & Entertainment Services,-1.64,-0.91,-0.56,-1.09,-1.26,-1.11,1.10,0.01,-2.97,-2.94
TRIP,Tripadvisor Inc,Communication Services,Hotels & Entertainment Services,1.71,-0.99,0.39,1.66,1.50,0.05,-0.74,0.13,1.26,0.77
TZOO,Travelzoo,Communication Services,Hotels & Entertainment Services,1.83,-0.44,0.60,1.96,2.99,-0.25,-0.55,-0.71,-2.05,-2.60
ADV,Advantage Solutions Inc,Communication Services,Media & Publishing,-3.00,0.05,0.66,-1.51,0.41,-0.15,-1.60,0.51,-1.23,-0.31
AMCX,AMC Networks Inc,Communication Services,Media & Publishing,-1.18,0.52,-0.44,-2.87,1.21,0.28,-1.87,0.18,-0.44,-1.45
ATHM,Autohome Inc,Communication Services,Media & Publishing,0.76,1.08,-0.28,0.02,1.49,1.97,1.48,-0.03,-0.40,1.87
BOC,Boston Omaha Corp,Communication Services,Media & Publishing,0.48,-1.24,-0.56,-0.39,-0.86,-0.51,-0.16,0.88,-1.45,-1.39
CCO,Clear Channel Outdoor Holdings Inc,Communication Services,Media & Publishing,0.07,-0.96,0.33,1.23,0.05,-1.10,-1.56,0.21,-1.19,-1.01
CMLS,Cumulus Media Inc,Communication Services,Media & Publishing,-1.16,-0.82,-0.64,-2.94,-0.84,-1.30,0.74,0.06,-2.65,-2.91
CRTO,Criteo SA,Communication Services,Media & Publishing,-0.07,-0.30,0.37,0.77,2.20,1.14,0.62,-0.11,-0.42,0.09
DIS,Walt Disney Co,Communication Services,Media & Publishing,-0.69,-0.93,0.28,-0.49,0.31,0.28,-0.76,0.37,2.95,2.90
DRCT,Direct Digital Holdings Inc,Communication Services,Media & Publishing,-0.04,-0.93,0.69,-1.09,2.00,-1.74,-2.35,0.33,-2.50,-2.70
EDR,Endeavor Group Holdings Inc,Communication Services,Media & Publishing,0.56,-0.68,0.12,-0.89,0.58,0.30,-0.01,0.11,2.35,1.87
EVC,Entravision Communications Corp,Communication Services,Media & Publishing,-3.63,0.42,-0.62,-2.96,-0.19,-1.50,-1.89,0.59,-1.51,-2.31
FOX,Fox Corp,Communication Services,Media & Publishing,-0.73,0.87,-0.03,-1.47,1.18,2.13,2.10,-1.01,1.11,1.93
FWONA,Liberty Media Corp,Communication Services,Media & Publishing,0.40,-1.50,0.15,0.03,0.23,0.20,0.75,0.18,-0.58,2.46
GAIA,Gaia Inc,Communication Services,Media & Publishing,2.20,-0.62,0.53,1.32,-1.15,-0.46,1.45,0.16,-2.72,-2.74
GCI,Gannett Co Inc,Communication Services,Media & Publishing,-2.63,-0.60,0.29,-0.08,-0.98,-1.27,-0.54,0.37,-1.62,-1.65
GTN,Gray Television Inc,Communication Services,Media & Publishing,-0.49,1.27,-0.57,-2.96,-0.11,0.66,-0.32,0.28,-0.59,-1.21
IAS,Integral Ad Science Holding Corp,Communication Services,Media & Publishing,2.64,-1.31,0.01,0.66,0.10,-0.86,-2.43,1.26,0.22,-0.26
IHRT,iHeartMedia Inc,Communication Services,Media & Publishing,-0.46,0.04,-0.67,-2.70,-0.18,-0.37,-1.57,0.06,-1.86,-1.99
IMAX,Imax Corp,Communication Services,Media & Publishing,0.92,-0.19,0.16,1.05,1.56,0.44,0.30,-0.33,-0.01,-0.75
IPG,Interpublic Group of Companies Inc,Communication Services,Media & Publishing,-1.90,0.52,-0.12,-0.54,1.98,0.67,-0.36,-0.38,2.16,1.81
LBRDA,Liberty Broadband Corp,Communication Services,Media & Publishing,-0.96,0.37,-0.50,-0.68,-0.08,1.56,-0.44,0.92,-0.67,1.47
LLYVA,Liberty Media Corp,Communication Services,Media & Publishing,1.13,-1.51,-0.08,-1.09,-0.90,0.91,0.00,1.14,-0.85,2.26
LPTV,Loop Media Inc,Communication Services,Media & Publishing,0.24,-2.10,-0.75,2.27,-2.99,-2.03,2.86,-0.54,-2.82,-2.97
LSXMA,Liberty Media Corp,Communication Services,Media & Publishing,-0.58,-0.10,-0.29,-1.33,-0.90,1.19,0.15,0.66,1.28,2.02
LVO,LiveOne Inc,Communication Services,Media & Publishing,1.67,-1.78,0.71,-1.09,1.25,-2.14,-1.28,0.91,-2.77,-2.41
